Volcano Number,Volcano Name,Country,Activity classification,Class,Sentinel-1 quality,Remote detections (Def/G/T),Detection Type,PEI,Primary volcano type,Activity evidence,Last known eruption,Region,Subregion,Latitude,Longitude,Elevation (m),Dominant rock type,Tectonic setting,Geological summary,,,,,,,,,,,,,,,,
244030,Upolu,Samoa,Inactive,C,,,,,Shield,Evidence credible,Unknown,New Zealand to Fiji,Samoan and Wallis Islands,-13.935,-171.720," 	1,100 ",Basalt/Picro-basalt,Subduction zone/Oceanic crust (<15 km),,,,,,,,,,,,,,,,,
244040,Savai'i,Samoa,Inactive,C,,,,,Shield,Eruption observed,1911 C.E.,New Zealand to Fiji,Samoan and Wallis Islands,-13.612,-172.525," 	1,858 ",Basalt/Picro-basalt,Subduction zone/Oceanic crust (<15 km),,,,,,,,,,,,,,,,,
244050,Wallis Islands,France,Inactive,C,,,,,Shield(s),Evidence credible,Unknown,New Zealand to Fiji,Samoan and Wallis Islands,-13.300,-176.170, 	143 ,Basalt/Picro-basalt,Subduction zone/Oceanic crust (<15 km),,,,,,,,,,,,,,,,,
245010,Taveuni,Fiji,Inactive,C,,,,,Shield,Eruption dated,1550 C.E.,New Zealand to Fiji,Fiji Islands,-16.820,-179.970," 	1,241 ",Basalt/Picro-basalt,Subduction zone/Crustal thickness unknown,,,,,,,,,,,,,,,,,
245020,Koro,Fiji,Inactive,C,,,,,Pyroclastic cone(s),Evidence uncertain,Unknown,New Zealand to Fiji,Fiji Islands,-17.320,179.400, 	522 ,Basalt/Picro-basalt,Subduction zone/Crustal thickness unknown,,,,,,,,,,,,,,,,,
245030,Nabukelevu,Fiji,Inactive,C,,,,,Lava dome(s),Eruption dated,1660 C.E.,New Zealand to Fiji,Fiji Islands,-19.120,177.980, 	805 ,Andesite/Basaltic andesite,Subduction zone/Crustal thickness unknown,,,,,,,,,,,,,,,,,
250010,St. Andrew Strait,Papua New Guinea,Inactive,C,,,,,Complex,Eruption observed,1957 C.E.,Melanesia and Australia,Admiralty Islands,-2.380,147.350, 	270 ,Rhyolite,Subduction zone/Oceanic crust (<15 km),,,,,,,,,,,,,,,,,
250020,Baluan,Papua New Guinea,Inactive,C,,,,,Stratovolcano,Evidence uncertain,Unknown,Melanesia and Australia,Admiralty Islands,-2.570,147.280, 	254 ,Basalt/Picro-basalt,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
250030,Central Bismarck Sea,Papua New Guinea,Marine,–,,,,,Submarine,Eruption dated,1972 C.E.,Melanesia and Australia,Admiralty Islands,-3.030,147.780," 	(1,300)",No data (checked),Rift zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
251001,Blup Blup,Papua New Guinea,Inactive,C,,,,,Stratovolcano,Evidence credible,Unknown,Melanesia and Australia,Northeast of New Guinea,-3.507,144.605, 	402 ,Andesite/Basaltic andesite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
251002,Kadovar,Papua New Guinea,Inactive,A1,,T,MODIS,,Stratovolcano,Evidence credible,2021 C.E.,Melanesia and Australia,Northeast of New Guinea,-3.608,144.588, 	365 ,Andesite/Basaltic andesite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
251010,Bam,Papua New Guinea,Inactive,C,,,,,Stratovolcano,Eruption observed,1960 C.E.,Melanesia and Australia,Northeast of New Guinea,-3.613,144.818, 	685 ,Andesite/Basaltic andesite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
251011,Boisa,Papua New Guinea,Inactive,C,,,,,Stratovolcano,Evidence uncertain,Unknown,Melanesia and Australia,Northeast of New Guinea,-3.994,144.963, 	240 ,Basalt/Picro-basalt,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
251020,Manam,Papua New Guinea,Active,A1,Sentinel not enough,"G, T",MODIS,3,Stratovolcano,Eruption observed,2021 C.E.,Melanesia and Australia,Northeast of New Guinea,-4.080,145.037," 	1,807 ",Basalt/Picro-basalt,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
251030,Karkar,Papua New Guinea,Active,A1,Sentinel not enough,G,,3,Stratovolcano,Eruption observed,2014 C.E.,Melanesia and Australia,Northeast of New Guinea,-4.649,145.964," 	1,839 ",Andesite/Basaltic andesite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
251041,Hankow Reef,Papua New Guinea,Marine,–,,,,,Submarine,Evidence uncertain,Unknown,Melanesia and Australia,Northeast of New Guinea,-4.883,146.717, 	(5),No data (checked),Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
251050,Long Island,Papua New Guinea,Quiescent,A2,Sentinel not enough,,,2,Complex,Eruption observed,1993 C.E.,Melanesia and Australia,Northeast of New Guinea,-5.358,147.120," 	1,280 ",Andesite/Basaltic andesite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
251060,Umboi,Papua New Guinea,Inactive,C,,,,,Complex,Evidence credible,Unknown,Melanesia and Australia,Northeast of New Guinea,-5.592,147.892," 	1,335 ",Basalt/Picro-basalt,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
251070,Ritter Island,Papua New Guinea,Active,A1,Sentinel not enough,,,3,Stratovolcano,Eruption observed,2007 C.E.,Melanesia and Australia,Northeast of New Guinea,-5.519,148.115, 	75 ,Basalt/Picro-basalt,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
251080,Sakar,Papua New Guinea,Quiescent Ground-based,B2,,,Ground-based 2009,,Stratovolcano,Evidence uncertain,Unknown,Melanesia and Australia,Northeast of New Guinea,-5.414,148.094, 	992 ,Basalt/Picro-basalt,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
252010,Langila,Papua New Guinea,Active,A1,Sentinel not enough,"G, T",MODIS,3,Complex,Eruption observed,2021 C.E.,Melanesia and Australia,New Britain,-5.525,148.420," 	1,330 ",Basalt/Picro-basalt,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
252021,Mundua,Papua New Guinea,Inactive,C,,,,,Complex,Evidence credible,Unknown,Melanesia and Australia,New Britain,-4.624,149.339, 	171 ,Basalt/Picro-basalt,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
252030,Garove,Papua New Guinea,Inactive,C,,,,,Stratovolcano,Evidence credible,Unknown,Melanesia and Australia,New Britain,-4.687,149.511, 	368 ,Andesite/Basaltic andesite,Subduction zone/Oceanic crust (<15 km),,,,,,,,,,,,,,,,,
252040,Dakataua,Papua New Guinea,Inactive,C,,,,,Caldera,Eruption dated,1895 C.E.,Melanesia and Australia,New Britain,-5.094,150.094, 	408 ,Andesite/Basaltic andesite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
252050,Bola,Papua New Guinea,Inactive,C,,,,,Stratovolcano,Evidence credible,Unknown,Melanesia and Australia,New Britain,-5.141,150.038," 	1,116 ",Andesite/Basaltic andesite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
252060,Garua Harbour,Papua New Guinea,Inactive,C,,,,,Volcanic field,Evidence uncertain,Unknown,Melanesia and Australia,New Britain,-5.300,150.070, 	565 ,Rhyolite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
252070,Krummel-Garbuna-Welcker,Papua New Guinea,Active,A1,Sentinel not enough,G,,3,Stratovolcano(es),Eruption observed,2008 C.E.,Melanesia and Australia,New Britain,-5.416,150.027, 	564 ,Andesite/Basaltic andesite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
252071,Lolo,Papua New Guinea,Inactive,C,,,,,Stratovolcano,Evidence uncertain,Unknown,Melanesia and Australia,New Britain,-5.466,150.509, 	796 ,Andesite/Basaltic andesite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
252080,Witori,Papua New Guinea,Active,A1,Sentinel not enough,T,MODIS,4,Caldera,Eruption observed,2012 C.E.,Melanesia and Australia,New Britain,-5.576,150.516, 	724 ,Dacite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
252090,Sulu Range,Papua New Guinea,Quiescent,B1,Sentinel not enough,Def,,,Stratovolcano(es),Unrest / Holocene,Unknown,Melanesia and Australia,New Britain,-5.500,150.942, 	610 ,Andesite/Basaltic andesite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
252100,Hargy,Papua New Guinea,Quiescent Ground-based,B2,,,Ground-based 1990,,Stratovolcano,Eruption dated,950 C.E.,Melanesia and Australia,New Britain,-5.330,151.100," 	1,148 ",Dacite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
252110,Bamus,Papua New Guinea,Quiescent Ground-based,B2,,,Ground-based 2006 seismic,,Stratovolcano,Eruption observed,1886 C.E.,Melanesia and Australia,New Britain,-5.200,151.230," 	2,248 ",Andesite/Basaltic andesite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
252120,Ulawun,Papua New Guinea,Active,A1,Sentinel not enough,"G, T",MODIS,2,Stratovolcano,Eruption observed,2019 C.E.,Melanesia and Australia,New Britain,-5.050,151.330," 	2,334 ",Basalt/Picro-basalt,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
252130,Lolobau,Papua New Guinea,Inactive,C,,,,,Caldera,Eruption observed,1912 C.E.,Melanesia and Australia,New Britain,-4.920,151.158, 	858 ,Basalt/Picro-basalt,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
252140,Rabaul,Papua New Guinea,Active,A1,Sentinel not enough?,"Def, G, T",MODIS,5,Pyroclastic shield,Eruption observed,2014 C.E.,Melanesia and Australia,New Britain,-4.271,152.203, 	688 ,Dacite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
252150,Tavui,Papua New Guinea,Inactive,C,,,,,Caldera,Eruption dated,4946 B.C.E.,Melanesia and Australia,New Britain,-4.120,152.200, 	200 ,Rhyolite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
252801,Narage,Papua New Guinea,Inactive,C,,,,,Stratovolcano,Unrest / Pleistocene,Unknown,Melanesia and Australia,New Britain,-4.550,149.125, 	307 ,,Subduction zone/Oceanic crust (<15 km),"The small forested island of Narage is the northernmost of the Witu (or Vitu) Islands, which lie north of western New Britain. Narage is the summit of a Pleistocene stratovolcano that displays strong thermal activity, and was included in the Catalog of Active Volcanoes of the World (Fisher, 1957) based on its geothermal activity. Boiling springs and a geyser are found along the SE and SW coasts; in 1863 a geyser 45 m high was observed at a sandbank 8 km offshore. A fringing reef, prominent on satellite imagery, encircles the island at a distance of 200 m to 400 m and encloses a narrow lagoon.",,,,,,,,,,,,,,,,
253002,Yelia,Papua New Guinea,Inactive,C,,,,,,,,,,,,,,,"Mount Yelia, first recognized as a volcano in 1963, contains a group of andesitic lava domes in the summit area and NW flank. Marble Peak is an older volcanic center immediately to the south. The largest dome in the summit crater is perforated by at least 11 craters. Two large steep-sided, flat-topped lava domes occupy the NNE flank, and two smaller domes are located to the west. The last significant eruption occurred about 18,000 years ago, and no direct evidence for Holocene eruptions has been observed. Weak solfataric activity is present and there was an unverified report from local inhabitants of an eruption during the early 1940's. Weak fumarolic activity continues in the summit crater.",,,,,,,,,,,,,,,,
253004,Madilogo,Papua New Guinea,Inactive,C,,,,,Pyroclastic cone,Evidence credible,Unknown,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-9.200,147.570, 	850 ,Trachybasalt/Tephrite basanite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
253010,Lamington,Papua New Guinea,Quiescent Ground-based,B2,,,Ground-based 2006 seismic,,Stratovolcano,Eruption observed,1956 C.E.,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-8.950,148.150," 	1,680 ",Andesite/Basaltic andesite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
253011,Hydrographers Range,Papua New Guinea,Inactive,C,,,,,Stratovolcano,Evidence credible,Unknown,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-9.000,148.370," 	1,915 ",Andesite/Basaltic andesite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
253021,Managlase Plateau,Papua New Guinea,Inactive,C,,,,,Volcanic field,Evidence credible,Unknown,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-9.080,148.330," 	1,342 ",Trachybasalt/Tephrite basanite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
253030,Victory,Papua New Guinea,Inactive,C,,,,,Stratovolcano,Eruption observed,1935 C.E.,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-9.200,149.070," 	1,925 ",Andesite/Basaltic andesite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
253031,Sessagara,Papua New Guinea,Inactive,C,,,,,Pyroclastic cone(s),Evidence credible,Unknown,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-9.480,149.130, 	370 ,Trachyandesite/Basaltic trachyandesite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
253040,Waiowa,Papua New Guinea,Inactive,C,,,,,Pyroclastic cone,Eruption observed,1944 C.E.,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-9.570,149.075, 	640 ,Trachyandesite/Basaltic trachyandesite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
253041,Goodenough,Papua New Guinea,Inactive,C,,,,,Volcanic field,Evidence credible,Unknown,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-9.358,150.246, 	220 ,Andesite/Basaltic andesite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
253050,Iamalele,Papua New Guinea,Inactive,C,,,,,Lava dome(s),Evidence credible,Unknown,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-9.520,150.530, 	200 ,Andesite/Basaltic andesite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
253060,Dawson Strait Group,Papua New Guinea,Quiescent Ground-based,B2,,,Ground-based 2000 seismic,,Volcanic field,Eruption dated,1350 C.E.,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-9.620,150.880, 	500 ,Rhyolite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
254010,Lihir,Papua New Guinea,Inactive,C,,,,,Compound,Evidence credible,Unknown,Melanesia and Australia,New Ireland,-3.125,152.642, 	700 ,Trachybasalt/Tephrite basanite,Subduction zone/Crustal thickness unknown,,,,,,,,,,,,,,,,,
254020,Ambitle,Papua New Guinea,Inactive,C,,,,,Stratovolcano,Eruption dated,350 B.C.E.,Melanesia and Australia,New Ireland,-4.080,153.650, 	450 ,Phono-tephrite/tephri-phonolite,Subduction zone/Crustal thickness unknown,,,,,,,,,,,,,,,,,
254801,Tanga,Papua New Guinea,Quiescent Ground-based,B2,,,Ground-based 1999,,Stratovolcano,Unrest / Pleistocene,Unknown,Melanesia and Australia,New Ireland,-3.500,153.220, 	472 ,,Subduction zone/Crustal thickness unknown,"Malendok, Lif, and Tefa islands are remnants of the summit of a mostly submerged stratovolcano. In the center of the caldera, the small islands of Bitlik and Bitbok mark remnants of early Pleistocene post-caldera lava domes marking the volcano's latest activity. A small hot spring on Malendok Islands marks the only current thermal activity. ",,,,,,,,,,,,,,,,
255010,Balbi,Papua New Guinea,Quiescent Ground-based,B2,,,Ground-based 2008,,Stratovolcano,Evidence credible,Unknown,Melanesia and Australia,Bougainville and Solomon Islands,-5.920,154.980," 	2,715 ",Andesite/Basaltic andesite,Subduction zone/Crustal thickness unknown,,,,,,,,,,,,,,,,,
255011,Billy Mitchell,Papua New Guinea,Inactive,C,,,,,Pyroclastic shield,Eruption dated,1580 C.E.,Melanesia and Australia,Bougainville and Solomon Islands,-6.092,155.225," 	1,544 ",Andesite/Basaltic andesite,Subduction zone/Crustal thickness unknown,,,,,,,,,,,,,,,,,
255020,Bagana,Papua New Guinea,Active,A1,Sentinel not enough,"G, T",MODIS,2,Lava cone,Eruption observed,2021 C.E.,Melanesia and Australia,Bougainville and Solomon Islands,-6.137,155.196," 	1,855 ",Andesite/Basaltic andesite,Subduction zone/Crustal thickness unknown,,,,,,,,,,,,,,,,,
255021,Takuan Group,Papua New Guinea,Inactive,C,,,,,Compound,Evidence credible,Unknown,Melanesia and Australia,Bougainville and Solomon Islands,-6.442,155.608," 	2,210 ",Andesite/Basaltic andesite,Subduction zone/Crustal thickness unknown,,,,,,,,,,,,,,,,,
255030,Loloru,Papua New Guinea,Quiescent Ground-based,B2,,,Ground-based 1995,,Pyroclastic shield,Eruption dated,1050 B.C.E.,Melanesia and Australia,Bougainville and Solomon Islands,-6.520,155.620," 	1,887 ",Andesite/Basaltic andesite,Subduction zone/Crustal thickness unknown,,,,,,,,,,,,,,,,,
255050,Simbo,Solomon Islands,Quiescent Ground-based,B2,,,Ground-based 2006,,Stratovolcano(es),Eruption dated,1910 C.E.,Melanesia and Australia,Bougainville and Solomon Islands,-8.292,156.520, 	335 ,Andesite/Basaltic andesite,Subduction zone/Crustal thickness unknown,,,,,,,,,,,,,,,,,
255052,Kana Keoki,Solomon Islands,Marine,–,,,,,Submarine,Evidence credible,Unknown,Melanesia and Australia,Bougainville and Solomon Islands,-8.750,157.030, 	(700),Dacite,Subduction zone/Crustal thickness unknown,,,,,,,,,,,,,,,,,
255053,Coleman Seamount,Solomon Islands,Marine,–,,,,,Submarine,Evidence credible,Unknown,Melanesia and Australia,Bougainville and Solomon Islands,-8.841,157.160, 	(717),No data (checked),Subduction zone/Crustal thickness unknown,,,,,,,,,,,,,,,,,
255060,Kavachi,Solomon Islands,Active,A1,Sentinel not enough,T,MODIS,2,Submarine,Eruption observed,2021 C.E.,Melanesia and Australia,Bougainville and Solomon Islands,-8.991,157.979, 	(20),Andesite/Basaltic andesite,Subduction zone/Crustal thickness unknown,,,,,,,,,,,,,,,,,
255061,Unnamed,Solomon Islands,Marine,–,,,,,Submarine(es),Evidence credible,Unknown,Melanesia and Australia,Bougainville and Solomon Islands,-8.920,158.030, 	(240),Andesite/Basaltic andesite,Subduction zone/Crustal thickness unknown,,,,,,,,,,,,,,,,,
255062,Gallego,Solomon Islands,Inactive,C,,,,,Volcanic field,Evidence uncertain,Unknown,Melanesia and Australia,Bougainville and Solomon Islands,-9.350,159.730," 	1,000 ",Andesite/Basaltic andesite,Subduction zone/Crustal thickness unknown,,,,,,,,,,,,,,,,,
255070,Savo,Solomon Islands,Inactive,C,,,,,Stratovolcano,Eruption observed,1847 C.E.,Melanesia and Australia,Bougainville and Solomon Islands,-9.130,159.820, 	485 ,Andesite/Basaltic andesite,Subduction zone/Crustal thickness unknown,,,,,,,,,,,,,,,,,
255803,Nonda,Solomon Islands,Inactive,C,,,,,Stratovolcano,Unrest / Pleistocene,Unknown,Melanesia and Australia,Bougainville and Solomon Islands,-7.670,156.600, 	760 ,,Subduction zone/Crustal thickness unknown,"Nonda volcano, the youngest volcanic feature of Vella Lavella Island, is a lava dome located within a well-preserved crater. No historical eruptions have been reported, although inhabitants reported ""smoke"" and explosive activity in the vicinity of andesitic Nonda Hill at the time of a major earthquake in 1959 (Taylor, 1976). Vella Lavella Island was mapped as several coalescing Pliocene to possibly Pleistocene volcanic centers (Solomon Islands Geological Survey, 1982). Nonda was included in the Catalog of Active Volcanoes of the World (Fisher, 1957) based on its geothermal activity. The Paraso thermal area displays solfataras, hot springs, and boiling mud pots.",,,,,,,,,,,,,,,,
256010,Tinakula,Solomon Islands,Active,A1,Sentinel not enough,"G, T",MODIS,2,Stratovolcano,Eruption observed,2021 C.E.,Melanesia and Australia,Santa Cruz Islands,-10.386,165.804, 	796 ,Andesite/Basaltic andesite,Subduction zone/Crustal thickness unknown,,,,,,,,,,,,,,,,,
257001,Motlav,Vanuatu,Inactive,C,,,,,Stratovolcano,Evidence credible,Unknown,Melanesia and Australia,Vanuatu,-13.670,167.670, 	411 ,Basalt/Picro-basalt,Subduction zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
257010,Suretamatai,Vanuatu,Quiescent Ground-based,B2,,,Ground-based 1991,,Complex,Eruption observed,1966 C.E.,Melanesia and Australia,Vanuatu,-13.800,167.470, 	921 ,Andesite/Basaltic andesite,Subduction zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
257020,Gaua,Vanuatu,Quiescent,A2,Sentinel not enough,"G, T",MODIS,2,Stratovolcano,Eruption observed,2011 C.E.,Melanesia and Australia,Vanuatu,-14.270,167.500, 	797 ,Andesite/Basaltic andesite,Subduction zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
257021,Mere Lava,Vanuatu,Inactive,C,,,,,Stratovolcano,Evidence credible,Unknown,Melanesia and Australia,Vanuatu,-14.450,168.050," 	1,028 ",Basalt/Picro-basalt,Subduction zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
257030,Ambae,Vanuatu,Quiescent,A1,Sentinel not enough,"G, T",MODIS,2,Shield,Eruption observed,2018 C.E.,Melanesia and Australia,Vanuatu,-15.389,167.835," 	1,496 ",Basalt/Picro-basalt,Subduction zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
257040,Ambrym,Vanuatu,Active,A1,,"Def, G, T",MODIS,2,Pyroclastic shield,Eruption observed,2018 C.E.,Melanesia and Australia,Vanuatu,-16.250,168.120," 	1,334 ",Basalt/Picro-basalt,Subduction zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
257050,Lopevi,Vanuatu,Quiescent,A2,Sentinel not enough,"G, T",MODIS,2,Stratovolcano,Eruption observed,2007 C.E.,Melanesia and Australia,Vanuatu,-16.507,168.346," 	1,413 ",Basalt/Picro-basalt,Subduction zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
257060,Epi,Vanuatu,Quiescent,A2,Sentinel not enough,,,2,Stratovolcano(es),Eruption observed,2004 C.E.,Melanesia and Australia,Vanuatu,-16.680,168.370, 	833 ,Basalt/Picro-basalt,Subduction zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
257070,Kuwae,Vanuatu,Quiescent Ground-based,B2,,,Ground-based 1991,,Caldera,Eruption observed,1974 C.E.,Melanesia and Australia,Vanuatu,-16.829,168.536, 	(2),Basalt/Picro-basalt,Subduction zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
257080,NE Shepherd Islands,Vanuatu,Inactive,C,,,,,Stratovolcano(es),Evidence uncertain,Unknown,Melanesia and Australia,Vanuatu,-16.992,168.592, 	216 ,Basalt/Picro-basalt,Subduction zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
257081,North Vate,Vanuatu,Inactive,C,,,,,Stratovolcano(es),Evidence credible,Unknown,Melanesia and Australia,Vanuatu,-17.470,168.353, 	594 ,Basalt/Picro-basalt,Subduction zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
257090,Traitor's Head,Vanuatu,Inactive,C,,,,,Stratovolcano,Eruption observed,1881 C.E.,Melanesia and Australia,Vanuatu,-18.754,169.238, 	817 ,Basalt/Picro-basalt,Subduction zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
257100,Yasur,Vanuatu,Active,A1,Sentinel not enough,"G, T",MODIS,3,Stratovolcano,Eruption observed,2021 C.E.,Melanesia and Australia,Vanuatu,-19.532,169.447, 	361 ,Andesite/Basaltic andesite,Subduction zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
257110,Aneityum,Vanuatu,Inactive,C,,,,,Stratovolcano(es),Evidence uncertain,Unknown,Melanesia and Australia,Vanuatu,-20.200,169.780, 	852 ,Basalt/Picro-basalt,Subduction zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
258001,Eastern Gemini Seamount,France,Marine,–,,,,,Submarine,Eruption observed,1996 C.E.,Melanesia and Australia,Pacific Ocean (southwestern),-20.980,170.280, 	(80),Basalt/Picro-basalt,Rift zone/Oceanic crust (<15 km),,,,,,,,,,,,,,,,,
258010,Matthew Island,France,Inactive,C,,,,,Stratovolcano,Eruption observed,1956 C.E.,Melanesia and Australia,Pacific Ocean (southwestern),-22.330,171.320, 	177 ,Andesite/Basaltic andesite,Subduction zone/Crustal thickness unknown,,,,,,,,,,,,,,,,,
258020,Hunter Island,France,Inactive,C,,,,,Stratovolcano,Eruption observed,1903 C.E.,Melanesia and Australia,Pacific Ocean (southwestern),-22.400,172.050, 	297 ,Andesite/Basaltic andesite,Subduction zone/Crustal thickness unknown,,,,,,,,,,,,,,,,,
259010,Newer Volcanics Province,Australia,Inactive,C,,,,,Shield(s),Eruption dated,2900 B.C.E.,Melanesia and Australia,Australia,-37.770,142.500," 	1,011 ",Trachybasalt/Tephrite basanite,Intraplate/Continental crust (>25 km),,,,,,,,,,,,,,,,,
260001,Narcondum,India,Inactive,C,,,,,Stratovolcano,Evidence credible,Unknown,Indonesia,Andaman Islands,13.430,94.280, 	710 ,Andesite/Basaltic andesite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
260010,Barren Island,India,Active,A1,Sentinel not enough,"G, T",MODIS,2,Stratovolcano,Eruption observed,2021 C.E.,Indonesia,Andaman Islands,12.278,93.858, 	354 ,Basalt/Picro-basalt,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
261020,Seulawah Agam,Indonesia,Quiescent Ground-based,B2,,,Ground-based 2013 seismic,,Stratovolcano,Eruption observed,1839 C.E.,Indonesia,Sumatra,5.448,95.658," 	1,810 ",Andesite/Basaltic andesite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
261030,Peuet Sague,Indonesia,Active,A1,Sentinel not enough,T,ASTER,3,Complex,Eruption observed,2000 C.E.,Indonesia,Sumatra,4.903,96.289," 	2,785 ",Andesite/Basaltic andesite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
261050,"Telong, Bur ni",Indonesia,Inactive,C,,,,,Stratovolcano,Eruption observed,1937 C.E.,Indonesia,Sumatra,4.769,96.821," 	2,617 ",Andesite/Basaltic andesite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
261070,Singkut,Indonesia,Inactive,C,,,,,Caldera(s),Eruption observed,1881 C.E.,Indonesia,Sumatra,3.248,98.501," 	2,181 ",Andesite/Basaltic andesite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
261080,Sinabung,Indonesia,Active,A1,Sentinel not enough,"Def, G, T","ASTER, MODIS",5,Stratovolcano,Eruption observed,2021 C.E.,Indonesia,Sumatra,3.170,98.392," 	2,460 ",Andesite/Basaltic andesite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
261090,Toba,Indonesia,Inactive,C,,,,,Caldera,Evidence credible,Unknown,Indonesia,Sumatra,2.580,98.830," 	2,157 ",Dacite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
261110,Sibualbuali,Indonesia,Quiescent,B1,,T,ASTER,,Stratovolcano,Evidence uncertain,Unknown,Indonesia,Sumatra,1.556,99.255," 	1,819 ",Dacite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
261111,Lubukraya,Indonesia,Inactive,C,,,,,Stratovolcano,Evidence uncertain,Unknown,Indonesia,Sumatra,1.478,99.209," 	1,862 ",Andesite/Basaltic andesite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
261120,Sorikmarapi,Indonesia,Quiescent,B1,,T,Ground-based 2001; ASTER,,Stratovolcano,Eruption observed,1986 C.E.,Indonesia,Sumatra,0.686,99.539," 	2,145 ",Andesite/Basaltic andesite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
